Name,Website,Industry,Country,Funding_Amount_USD,Funding_Type,Last_Funding_Date
Brano Therapeutics,branotherapeutics.com,"Biotechnology, Healthcare, Pharmaceuticals",Singapore,May 2026,"$6,800,000",Seed
ReN3,ren3.ai,"Artificial Intelligence, Analytics, B2B Software, Data",Singapore,May 2026,"$5,000,000",Seed
Cata,cata.sg,"B2B Software, Food and Beverage, Mobile, Retail",Singapore,May 2026,"$5,300,000",Seed
Formas.AI,formas.ai,"Architecture, 3D, Artificial Intelligence, B2B Software, Education",Singapore,May 2026,"$3,980,000",Pre-Seed
GoSats,gosats.io,"FinTech, Finance, B2C Software, Blockchain, Mobile",Singapore,Apr 2026,"$5,000,000",Series A
Biobot Surgical Pte Ltd,biobotsurgical.com,"Healthcare, Hardware, Robotics",Singapore,Apr 2026,"$7,844,952",Series C
ThinkSpace AI,mythinkspace.ai,"Artificial Intelligence, B2B Software, Cloud Computing, Data",Singapore,Apr 2026,"$5,000,000",Pre-Seed
OnSite,on-site.io,"Construction, B2B Software, Cloud Computing, Mobile, Telecommunications",Singapore,Apr 2026,"$1,333,828",Seed
Libeara,libeara.com,"FinTech, Finance, Blockchain, Investing",Singapore,Apr 2026,,Venture - Series Unknown
ARO Network,aro.network,"Artificial Intelligence, Cloud Computing, B2B Software",Singapore,Apr 2026,"$5,000,000",Seed
OmenX,beta.omenx.com,"FinTech, Finance, Gambling",Singapore,Apr 2026,,Seed
PvX Partners,,"FinTech, Finance, Analytics, Gaming, Mobile",Singapore,Apr 2026,"$10,500,000",Series A
Eezee,eezee.co,"Marketplace, B2B Software, E-commerce",Singapore,Mar 2026,"$5,000,000",Series B
optoML,opto-ml.com,"Hardware, Artificial Intelligence, Electronics",Singapore,Mar 2026,"$1,800,000",Seed
Diaflow,diaflow.io,"B2B Software, Artificial Intelligence, Information Technology",Singapore,Mar 2026,,Seed
ICON1C,icon1c.com,"Hospitality, Entertainment, Marine, Travel",Singapore,Mar 2026,"$7,922,587",Series A
Respiree,respiree.com,"Healthcare, Analytics, B2B Software, Biotechnology, Data, Hardware, Pharmaceuticals",Singapore,Mar 2026,,Series A
Quest Global,quest-global.com,"Professional Services, Aerospace, Automotive, Computer Engineering, Electronics, Energy, Healthcare, Manufacturing, Mechanical Engineering",Singapore,Mar 2026,,Private Equity
Cortical Labs,corticallabs.com,"Biotechnology, Artificial Intelligence, Cloud Computing, Hardware",Singapore,Mar 2026,,Venture - Series Unknown
myFirst,myfirst.tech,"Electronics, Consumer Goods, Family, Hardware, Mobile, Social Network, Wearables",Singapore,Mar 2026,"$8,000,000",Series A
Dyna.Ai,dyna.ai,"Artificial Intelligence, B2B Software, Data, Finance",Singapore,Mar 2026,,Series A
Deep Intelligent Pharma,dip-ai.com,"Healthcare, Artificial Intelligence, Pharmaceuticals",Singapore,Mar 2026,"$40,000,000",Venture - Series Unknown
MetaComp,mce.sg,"FinTech, Finance, B2B Software, Blockchain, Cloud Computing, Cyber Security",Singapore,Mar 2026,,Seed
OMOWAY,omoway.com,"EV, Automotive, Artificial Intelligence, Electronics, Hardware, Manufacturing, Robotics",Singapore,Mar 2026,,Series A
MOZARK,mozark.ai,"B2B Software, Analytics, Artificial Intelligence",Singapore,Mar 2026,"$40,000,000",Series B
Aiko,aiko.inc,"Sports, Analytics, Artificial Intelligence, B2B Software, Data",Singapore,Mar 2026,"$1,500,000",Pre-Seed
Datakrew,datakrew.com,"EV, Automotive, Artificial Intelligence, B2B Software, Cyber Security, Data, Hardware",Singapore,Mar 2026,"$2,600,000",Seed
Surf Music,discover.surf,"B2B Software, Music",Singapore,Mar 2026,"$6,300,000",Seed
dtcpay,dtcpay.com,"FinTech, Finance, B2B Software, Blockchain",Singapore,Mar 2026,"$10,000,000",Series A
Video Rebirth,videorebirth.com,"Artificial Intelligence, Animation, B2B Software, Entertainment, Media",Singapore,Mar 2026,"$30,000,000",Venture - Series Unknown
Virdalis,virdalis.com,"Biotechnology, Agriculture",Singapore,Mar 2026,"$700,000",Pre-Seed
Ropedia,ropedia.com,"Data, Artificial Intelligence, Robotics",Singapore,Mar 2026,,Seed
HireQuotient,main.hirequotient.com,"Recruiting, Artificial Intelligence, B2B Software, Human Resources",Singapore,Mar 2026,"$1,800,000",Pre-Seed
Drive lah,drivelah.sg,"Automotive, Marketplace, Transportation",Singapore,Mar 2026,"$6,000,000",Series A
Tazapay,tazapay.com,"FinTech, Finance, B2B Software, Blockchain",Singapore,Mar 2026,"$25,500,000",Series B
Qweebi,qweebi.com,"Education, B2C Software",Singapore,Mar 2026,"$500,000",Seed
Zevero,zevero.earth,"B2B Software, Artificial Intelligence, Environment, Professional Services",Singapore,Mar 2026,"$7,000,000",Seed
Mindverse,mindverse.ai,"Artificial Intelligence, B2C Software, Cloud Computing, Data",Singapore,Feb 2026,"$20,000,000",Seed
HeyMax,heymax.ai,"Travel, B2C Software, Marketing",Singapore,Feb 2026,"$11,000,000",Series A
decube,decube.io,"Data, B2B Software, Cloud Computing",Singapore,Feb 2026,"$3,000,000",Seed
Igloo,iglooinsure.com,"Insurance, Artificial Intelligence, B2B Software, Data",Singapore,Feb 2026,"$5,000,000",Venture - Series Unknown
Startale Group,startale.com,"Blockchain, B2B Software, Cloud Computing",Singapore,Feb 2026,"$13,000,000",Series A
Sleek EV,sleekev.com,"EV, Automotive, Consumer Goods, Electronics, Hardware, Manufacturing",Singapore,Feb 2026,"$8,470,854",Series A
AsiaVerify,asiaverify.com,"B2B Software, Data, Finance",Singapore,Feb 2026,,Private Equity
Penguin Securities,penguinsecurities.sg,"Investing, Finance, Blockchain, FinTech",Singapore,Feb 2026,,Seed
Deep Intelligent Pharma,dip-ai.com,"Healthcare, Artificial Intelligence, B2B Software, Data, Pharmaceuticals",Singapore,Feb 2026,"$10,000,000",Series D
TradeDocAI,trade-doc.ai,"B2B Software, Artificial Intelligence, Data, Logistics",Singapore,Feb 2026,,Pre-Seed
Topview AI,topview.ai,"Advertising, Marketing, Artificial Intelligence, B2B Software, E-commerce",Singapore,Feb 2026,"$5,500,000",Series A
Noah's Farm,noahs-farm.xyz,"Artificial Intelligence, Food and Beverage",Singapore,Feb 2026,,Seed
Polybee,polybee.co,"Agriculture, Analytics, Artificial Intelligence, Drones",Singapore,Feb 2026,"$4,300,000",Seed
Hyperbond Studio,hyperbond.studio,"Artificial Intelligence, B2C Software, Entertainment, Gaming, Mobile",Singapore,Feb 2026,"$500,000",Seed
ZOTH,zoth.io,"FinTech, Finance, B2B Software, Blockchain, Investing",Singapore,Feb 2026,,Venture - Series Unknown
MYX,myx.finance,"FinTech, Finance, Blockchain",Singapore,Feb 2026,,Venture - Series Unknown
Deltaspike,deltaspike.io,"Cyber Security, Information Technology, Professional Services",Singapore,Feb 2026,,Venture - Series Unknown
DayOne,dayonedc.com,"Cloud Computing, Data, Information Technology",Singapore,Jan 2026,"$2,000,000,000",Series C
Botsync,botsync.co,"Robotics, Hardware, Logistics, Manufacturing",Singapore,Jan 2026,,Series A
OMOWAY,omoway.com,"EV, Automotive, Electronics, Hardware, Manufacturing, Transportation",Singapore,Jan 2026,,Seed
Zeya Health,zeya.health,"Healthcare, Artificial Intelligence, B2B Software",Singapore,Jan 2026,"$575,000",Pre-Seed
Hupo,hupo.co,"Human Resources, B2B Software, Education, Personal Development",Singapore,Jan 2026,"$10,000,000",Series A
CloudSEK,cloudsek.com,"Cyber Security, Artificial Intelligence, B2B Software, Cloud Computing",Singapore,Jan 2026,"$10,000,000",Series B
Simplex AI,lev8.com,"Sales, Analytics, Artificial Intelligence, B2B Software, Data, Recruiting",Singapore,Jan 2026,"$6,000,000",Seed
Vizzio Technologies,vizzio.ai,"3D, Architecture, B2B Software, Real Estate",Singapore,Dec 2025,,Venture - Series Unknown
Etaily,etaily.com,"E-commerce, Logistics, Marketplace, Retail",Singapore,Dec 2025,,Series B
Quantified Energy Labs,quantified-energy.com,"Energy, Environment, Professional Services",Singapore,Dec 2025,"$6,000,000",Series A
Validus,validus.sg,"FinTech, Finance, Artificial Intelligence, B2B Software, Data",Singapore,Dec 2025,"$30,000,000",Series D
Airwallex,airwallex.com,"FinTech, Finance, B2B Software",Singapore,Dec 2025,"$330,000,000",Series G
MetaComp,mce.sg,"FinTech, Finance, B2B Software, Blockchain",Singapore,Dec 2025,"$22,000,000",Seed
Olea,olea.net,"FinTech, Finance, B2B Software, Marketplace",Singapore,Dec 2025,"$30,000,000",Series A
TONIK,tonikbank.com,"FinTech, Finance, B2C Software, Mobile",Singapore,Dec 2025,"$12,000,000",Series C
OpenEden,openeden.com,"FinTech, Finance, Blockchain, Investing",Singapore,Dec 2025,,Seed
Noah AI,noahai.co,"Healthcare, Artificial Intelligence",Singapore,Dec 2025,,Series A
Metya,metya.com,"Love and Relationships, Artificial Intelligence, B2C Software, Blockchain, Mobile, Social Network",Singapore,Dec 2025,"$50,000,000",Venture - Series Unknown
Pyxis,thepyxis.co,"Marine, Energy, Hardware, Transportation",Singapore,Dec 2025,"$10,067,265",Venture - Series Unknown
RealVantage,realvantage.co,"Real Estate, Finance, FinTech, Investing",Singapore,Dec 2025,"$10,000,000",Series A
FENIX360,fenix360.com,"Social Network, Marketplace, Music",Singapore,Dec 2025,"$90,000,000",Private Equity
